id,street_number,street_name,street suffix,city,state
1,1,American Ash,Crossing,Lexington,KY
2,887,Monterey,Terrace,Sacramento,CA
3,2,Comanche,Drive,Los Angeles,CA
4,80,Fair Oaks,Avenue,Columbia,SC
5,619,Oak,Alley,Houston,TX
6,39073,Atwood,Avenue,Boston,MA
7,9457,Drewry,Way,Philadelphia,PA
8,90186,Hallows,Lane,West Palm Beach,FL
9,25927,Vahlen,Park,Saint Louis,MO
10,82,Holmberg,Point,Stamford,CT
11,38997,Cascade,Drive,Philadelphia,PA
12,71,Ludington,Road,Carson City,NV
13,40,Gale,Alley,Troy,MI
14,2369,Prairie Rose,Park,Sacramento,CA
15,66400,Ronald Regan,Place,Jefferson City,MO
16,2371,Union,Drive,Minneapolis,MN
17,359,Cardinal,Road,Washington,DC
18,97,Mitchell,Lane,Lexington,KY
19,0,Dexter,Place,Birmingham,AL
20,5,Dixon,Place,Mount Vernon,NY
21,34,Marquette,Drive,Peoria,IL
22,0977,Portage,Pass,Long Beach,CA
23,42,Algoma,Terrace,Hollywood,FL
24,3597,Spenser,Center,Roanoke,VA
25,0930,Golden Leaf,Circle,San Francisco,CA
26,24,Ludington,Lane,Atlanta,GA
27,55498,Shopko,Trail,Dallas,TX
28,23643,Tennessee,Way,Augusta,GA
29,56,Di Loreto,Trail,Metairie,LA
30,002,Thompson,Court,Honolulu,HI
31,6,Birchwood,Drive,Corpus Christi,TX
32,0,Anniversary,Road,Springfield,MA
33,173,Westridge,Park,San Antonio,TX
34,09109,Weeping Birch,Trail,Honolulu,HI
35,2,Melody,Park,Washington,DC
36,04572,Judy,Junction,Columbus,GA
37,094,Westerfield,Circle,Atlanta,GA
38,7,Kenwood,Center,Northridge,CA
39,7460,Rowland,Parkway,Colorado Springs,CO
40,97088,Debs,Pass,Albuquerque,NM
41,46644,Norway Maple,Pass,Kansas City,MO
42,2,Duke,Hill,Birmingham,AL
43,634,Anthes,Pass,Biloxi,MS
44,456,Jenifer,Place,Johnstown,PA
45,3827,Waywood,Way,Houston,TX
46,54310,Pierstorff,Avenue,Merrifield,VA
47,899,Gina,Junction,Kansas City,MO
48,3,Carey,Park,Des Moines,IA
49,5051,Hallows,Crossing,Albany,NY
50,4777,Scott,Pass,Springfield,IL
51,79258,Mandrake,Terrace,Saint Louis,MO
52,07500,Evergreen,Court,Baltimore,MD
53,7,Gulseth,Point,Memphis,TN
54,67287,Alpine,Pass,Austin,TX
55,76953,Kennedy,Avenue,Houston,TX
56,10,Russell,Parkway,San Antonio,TX
57,95,Cascade,Drive,New York City,NY
58,66053,Hooker,Avenue,Waterbury,CT
59,92259,Coolidge,Lane,Honolulu,HI
60,4,Londonderry,Drive,Sacramento,CA
61,00543,Northridge,Street,Sacramento,CA
62,33,Grim,Drive,Katy,TX
63,65,Acker,Trail,San Diego,CA
64,45927,Butternut,Terrace,Columbia,SC
65,52,Arizona,Junction,Whittier,CA
66,5705,Hoffman,Road,Sacramento,CA
67,27803,Monterey,Junction,Birmingham,AL
68,07623,Welch,Center,Topeka,KS
69,6,Talisman,Way,Minneapolis,MN
70,5368,Armistice,Crossing,Stamford,CT
71,8368,Westport,Street,Akron,OH
72,566,Esch,Street,Aurora,CO
73,96476,Northport,Avenue,Nashville,TN
74,183,Dorton,Drive,Dallas,TX
75,9,Jay,Road,Racine,WI
76,80,Golden Leaf,Trail,Manchester,NH
77,0026,Crescent Oaks,Center,Irvine,CA
78,5,Mariners Cove,Court,Gary,IN
79,49563,Southridge,Street,Little Rock,AR
80,486,Hermina,Hill,Honolulu,HI
81,2186,Kenwood,Place,Duluth,MN
82,5286,Mcbride,Alley,Dallas,TX
83,03,Kim,Lane,Washington,DC
84,3884,Prairieview,Court,Evansville,IN
85,2,Knutson,Point,Fullerton,CA
86,93,Corscot,Junction,San Bernardino,CA
87,094,Esker,Place,Santa Ana,CA
88,713,Harper,Court,Greensboro,NC
89,256,Forest Run,Center,Crawfordsville,IN
90,72,Butterfield,Lane,West Hartford,CT
91,2762,Pine View,Road,Washington,DC
92,164,Rowland,Park,San Jose,CA
93,7414,Buhler,Lane,San Diego,CA
94,7741,Buell,Lane,Beaverton,OR
95,1255,Mayer,Circle,Washington,DC
96,18,East,Terrace,Brooklyn,NY
97,12,Rowland,Way,Lexington,KY
98,6427,Swallow,Crossing,Amarillo,TX
99,9936,Declaration,Place,North Las Vegas,NV
100,4132,6th,Terrace,Ann Arbor,MI
